address,suburb,price,weekly_rent,vacancy_rate,orientation,days_on_market
"1 ALISON ST, ROSEVILLE, NSW",ROSEVILLE,2100000.0,1817.3076923076924,0.03,,1
"1 ALLAMBIE RD, CASTLE COVE, NSW",CASTLE COVE,1050000.0,908.6538461538462,0.03,,1
"1 ALLARD AVE, ROSEVILLE CHASE, NSW",ROSEVILLE CHASE,4630000.0,4006.730769230769,0.03,,1
"1 AMARNA PDE, ROSEVILLE, NSW",ROSEVILLE,1260000.0,1090.3846153846157,0.03,,1
"1 BAMPI PL, CASTLE COVE, NSW",CASTLE COVE,2500000.0,2163.4615384615386,0.03,,1
"1 BARANA PDE, ROSEVILLE CHASE, NSW",ROSEVILLE CHASE,930000.0,804.8076923076923,0.03,,1
"1 BARCOO ST, ROSEVILLE, NSW",ROSEVILLE,770000.0,666.3461538461538,0.03,,1
"1 BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,1001000.0,866.25,0.03,,1
"1 BLUEGUM PL, ROSEVILLE, NSW",ROSEVILLE,1340000.0,1159.6153846153843,0.03,,1
"1 CARNARVON RD, ROSEVILLE, NSW",ROSEVILLE,1100000.0,951.9230769230768,0.03,,1
"1 CHARLES ST, CASTLECRAG, NSW",CASTLECRAG,1875000.0,1622.5961538461538,0.03,,1
"1 CHOWNE PL, MIDDLE COVE, NSW",MIDDLE COVE,1100000.0,951.9230769230768,0.03,,1
"1 CLANVILLE RD, ROSEVILLE, NSW",ROSEVILLE,1890000.0,1635.576923076923,0.03,,1
"1 CLERMISTON AVE, ROSEVILLE, NSW",ROSEVILLE,1760000.0,1523.076923076923,0.03,,1
"1 COVELEE CCT, MIDDLE COVE, NSW",MIDDLE COVE,1056000.0,913.8461538461538,0.03,,1
"1 DORSET RD, NORTHBRIDGE, NSW",NORTHBRIDGE,14300000.0,12375.0,0.03,,1
"1 DUNTROON AVE, ROSEVILLE, NSW",ROSEVILLE,2980000.0,2578.846153846154,0.03,,1
"1 EMERSTAN DR, CASTLE COVE, NSW",CASTLE COVE,4500000.0,3894.230769230769,0.03,,1
"1 EUROKA ST, NORTHBRIDGE, NSW",NORTHBRIDGE,1100000.0,951.9230769230768,0.03,,1
"1 GERALD AVE, ROSEVILLE, NSW",ROSEVILLE,5700000.0,4932.692307692308,0.03,,1
"1 GLEN RD, ROSEVILLE, NSW",ROSEVILLE,1120000.0,969.2307692307692,0.03,,1
"1 GLOVER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,1750000.0,1514.423076923077,0.03,,1
"1 HUDSON AVE, WILLOUGHBY, NSW",WILLOUGHBY,710000.0,614.4230769230769,0.03,,1
"1 KALGOORLIE ST, WILLOUGHBY, NSW",WILLOUGHBY,1065000.0,921.6346153846154,0.03,,1
"1 KELBURN RD, ROSEVILLE, NSW",ROSEVILLE,3550000.0,3072.1153846153848,0.03,,1
"1 KENDALL RD, CASTLE COVE, NSW",CASTLE COVE,1310000.0,1133.6538461538462,0.03,,1
"1 KINGS AVE, ROSEVILLE, NSW",ROSEVILLE,325000.0,281.25,0.03,,1
"1 LAGUNA RD, NORTHBRIDGE, NSW",NORTHBRIDGE,1300000.0,1125.0,0.03,,1
"1 LINDEN WAY, CASTLECRAG, NSW",CASTLECRAG,2600000.0,2250.0,0.03,,1
"1 LOCKLEY PDE, ROSEVILLE CHASE, NSW",ROSEVILLE CHASE,1340000.0,1159.6153846153843,0.03,,1
"1 MABEL ST, WILLOUGHBY, NSW",WILLOUGHBY,1520000.0,1315.3846153846157,0.03,,1
"1 MACLAURIN PDE, ROSEVILLE, NSW",ROSEVILLE,2060000.0,1782.6923076923076,0.03,,1
"1 MALACOOTA RD, NORTHBRIDGE, NSW",NORTHBRIDGE,1315000.0,1137.9807692307693,0.03,,1
"1 MCCLELLAND ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,1360000.0,1176.923076923077,0.03,,1
"1 NAMOI RD, NORTHBRIDGE, NSW",NORTHBRIDGE,2015000.0,1743.75,0.03,,1
