address,suburb,price,weekly_rent,NOY,GROWTH,VACANCY,LIQ_SALES,RISK,SUN_SCORE,FRONTAGE_RATIO,days_on_market,SALY
"101 LAUREL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,10650000.0,9216.346153846154,0.0333683098591549,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,100.0
"283 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,8200000.0,7096.153846153846,0.0332841463414634,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.99653626977194
"338 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,6250000.0,5408.653846153846,0.03317,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9918386033222
"336 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,6250000.0,5408.653846153846,0.03317,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9918386033222
"10 MEGALONG AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,5225000.0,4521.634615384615,0.0330758373205741,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.98796335989094
"260 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,5000000.0,4326.923076923077,0.03305,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.98690003090069
"315 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,5000000.0,4326.923076923077,0.03305,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.98690003090069
"50 HOLLYWOOD CR, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4605000.0,3985.096153846154,0.0329985342019544,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.98478196781002
"2 GLOVER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4550000.0,3937.5,0.0329906593406593,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9844578797032
"20 FORSYTH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4250000.0,3677.8846153846152,0.0329441176470588,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.98254246699932
"183 HIGH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4100000.0,3548.076923076923,0.0329182926829268,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9814796465356
"17 ROSEWALL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4000000.0,3461.538461538461,0.0328999999999999,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9807268153738
"285 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,4000000.0,3461.538461538461,0.0328999999999999,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9807268153738
"6 CHALEYER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3800000.0,3288.4615384615386,0.0328605263157894,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97910228497196
"90 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3800000.0,3288.4615384615386,0.0328605263157894,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97910228497196
"18 BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3760000.0,3253.846153846154,0.0328521276595744,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97875664020565
"8 ROSEWALL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3750000.0,3245.192307692308,0.03285,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97866907686482
"65 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3700000.0,3201.923076923077,0.0328391891891891,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97822416043044
"25 HORSLEY AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3650000.0,3158.653846153846,0.0328280821917808,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97776705450474
"4/77 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3630000.0,3141.346153846154,0.0328235537190082,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97758068624852
"82 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3630000.0,3141.346153846154,0.0328235537190082,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97758068624852
"39 BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3608888.0,3123.076153846154,0.0328187190070736,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97738171478994
"25 LAUREL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3550000.0,3072.1153846153848,0.0328049295774647,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97681421398347
"81 LAUREL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3515000.0,3041.826923076923,0.0327965149359886,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9764679113474
"9A BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3450000.0,2985.576923076923,0.0327804347826087,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9758061363306
"178 HIGH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3450000.0,2985.576923076923,0.0327804347826087,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9758061363306
"22 VICTORIA AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3420000.0,2959.6153846153848,0.0327728070175438,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97549221741237
"37 GLOVER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3400000.0,2942.3076923076924,0.0327676470588235,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97527986049712
